time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-12-12 00:00:00+00:00,212,78,231,48
2021-12-13 00:00:00+00:00,275,100,348,81
2021-12-14 00:00:00+00:00,494,134,417,95
2021-12-15 00:00:00+00:00,271,80,423,89
2021-12-16 00:00:00+00:00,386,78,565,99
2021-12-17 00:00:00+00:00,541,89,499,93
2021-12-18 00:00:00+00:00,266,88,204,59
2021-12-19 00:00:00+00:00,234,91,183,55
2021-12-20 00:00:00+00:00,409,110,266,62
2021-12-21 00:00:00+00:00,373,102,239,65
2021-12-22 00:00:00+00:00,349,104,242,66
2021-12-23 00:00:00+00:00,555,114,254,53
2021-12-24 00:00:00+00:00,364,105,349,48
2021-12-25 00:00:00+00:00,275,89,131,44
